TABLE NO.  1
 NMROW       TVKA        TVV2        TVV3        TVCL        KA          V2          V3          CL          Q           IPRED       Y           DV          PRED        RES         WRES
  9.6000E+01  2.1666E+00  7.5729E+01  1.5006E+02  1.3978E+01  2.1666E+00  4.0457E+01  1.5006E+02  1.1899E+01  8.4865E+00  1.8637E-01  1.6357E-01  0.0000E+00  1.5976E-01  0.0000E+00  0.0000E+00
  9.7000E+01  2.1666E+00  7.5729E+01  1.5006E+02  1.3978E+01  2.1666E+00  4.0457E+01  1.5006E+02  1.1899E+01  8.4865E+00  1.8058E-01  2.0213E-01  0.0000E+00  1.5403E-01  0.0000E+00  0.0000E+00
  9.8000E+01  2.1666E+00  7.5729E+01  1.5006E+02  1.3978E+01  2.1666E+00  4.0457E+01  1.5006E+02  1.1899E+01  8.4865E+00  1.7497E-01  2.4644E-01  0.0000E+00  1.4865E-01  0.0000E+00  0.0000E+00
  9.9000E+01  2.1666E+00  7.5729E+01  1.5006E+02  1.3978E+01  2.1666E+00  4.0457E+01  1.5006E+02  1.1899E+01  8.4865E+00  1.6955E-01  1.6563E-01  0.0000E+00  1.4356E-01  0.0000E+00  0.0000E+00
  1.0000E+02  2.1666E+00  7.5729E+01  1.5006E+02  1.3978E+01  2.1666E+00  4.0457E+01  1.5006E+02  1.1899E+01  8.4865E+00  2.5372E+00  3.6942E+00  0.0000E+00  1.5841E+00  0.0000E+00  0.0000E+00
  1.0100E+02  2.1666E+00  7.5729E+01  1.5006E+02  1.3978E+01  2.1666E+00  4.0457E+01  1.5006E+02  1.1899E+01  8.4865E+00  1.8908E+00  1.4057E+00  0.0000E+00  1.3832E+00  0.0000E+00  0.0000E+00
  1.0200E+02  2.1666E+00  7.5729E+01  1.5006E+02  1.3978E+01  2.1666E+00  4.0457E+01  1.5006E+02  1.1899E+01  8.4865E+00  1.2725E+00  1.3336E+00  0.0000E+00  1.0926E+00  0.0000E+00  0.0000E+00
  1.0300E+02  2.1666E+00  7.5729E+01  1.5006E+02  1.3978E+01  2.1666E+00  4.0457E+01  1.5006E+02  1.1899E+01  8.4865E+00  8.7741E-01  8.7539E-01  0.0000E+00  8.6315E-01  0.0000E+00  0.0000E+00
  1.0400E+02  2.1666E+00  7.5729E+01  1.5006E+02  1.3978E+01  2.1666E+00  4.0457E+01  1.5006E+02  1.1899E+01  8.4865E+00  6.3774E-01  6.8213E-01  0.0000E+00  6.9258E-01  0.0000E+00  0.0000E+00
  1.0500E+02  2.1666E+00  7.5729E+01  1.5006E+02  1.3978E+01  2.1666E+00  4.0457E+01  1.5006E+02  1.1899E+01  8.4865E+00  4.9246E-01  4.4524E-01  0.0000E+00  5.6647E-01  0.0000E+00  0.0000E+00
